priorityIndex,batch,term,canonicalTerm,valueTier,recommendedTier,learningPriority,contentCategory,frequency,score,sourceStatus,sourceGlobalIndex,wordList,unit,unitIndex,sourceOccurrences,audioFile,start,end
772,4,courtesy,courtesy,active,,medium,,4.13,4.13,ready,3098,7,2,30,1,ysgpc/Word List7/Word List7-Unit2.mp3,84.88,85.49
773,4,jungle,jungle,active,,medium,,4.12,4.12,ready,377,1,4,78,1,ysgpc/Word List1/Word List1-Unit4.mp3,211.38,211.87
774,4,adjacent,adjacent,active,,medium,,4.12,4.12,ready,874,2,4,82,1,ysgpc/Word List2/Word List2-Unit4.mp3,220.35,221.07
775,4,interface,interface,active,,medium,,4.12,4.12,ready,1044,3,1,56,1,ysgpc/Word List3/Word List3-Unit1.mp3,150.46,151.13
776,4,rap,rap,active,,medium,,4.12,4.12,ready,1329,3,4,44,1,ysgpc/Word List3/Word List3-Unit4.mp3,122.73,123.13
777,4,curriculum,curriculum,active,,medium,,4.12,4.12,ready,1621,4,2,38,1,ysgpc/Word List4/Word List4-Unit2.mp3,108.1,108.71
778,4,cruel,cruel,active,,medium,,4.12,4.12,ready,2076,5,1,99,1,ysgpc/Word List5/Word List5-Unit1.mp3,266.89,267.32
779,4,resume,resume,active,,medium,,4.12,4.12,ready,2679,6,3,7,1,ysgpc/Word List6/Word List6-Unit3.mp3,23.43,24.02
780,4,divide,divide,active,,medium,,4.12,4.12,ready,2963,6,5,93,1,ysgpc/Word List6/Word List6-Unit5.mp3,249.37,249.93
781,4,rage,rage,active,,medium,,4.11,4.11,ready,818,2,4,26,1,ysgpc/Word List2/Word List2-Unit4.mp3,72.97,73.54
782,4,urge,urge,active,,medium,,4.11,4.11,ready,950,2,5,59,1,ysgpc/Word List2/Word List2-Unit5.mp3,161.82,162.29
783,4,freeze,freeze,active,,medium,,4.11,4.11,ready,963,2,5,72,1,ysgpc/Word List2/Word List2-Unit5.mp3,196.21,196.76
784,4,harmony,harmony,active,,medium,,4.11,4.11,ready,1469,3,5,85,1,ysgpc/Word List3/Word List3-Unit5.mp3,230.9,231.39
785,4,humble,humble,active,,medium,,4.11,4.11,ready,1673,4,2,90,1,ysgpc/Word List4/Word List4-Unit2.mp3,245.75,246.22
786,4,eternal,eternal,active,,medium,,4.11,4.11,ready,2094,5,2,17,1,ysgpc/Word List5/Word List5-Unit2.mp3,49.46,49.98
787,4,convert,convert,active,,medium,,4.11,4.11,ready,2577,6,2,4,1,ysgpc/Word List6/Word List6-Unit2.mp3,15.25,15.89
788,4,lasting,lasting,active,,medium,,4.11,4.11,ready,2825,6,4,54,1,ysgpc/Word List6/Word List6-Unit4.mp3,146.74,147.29
789,4,grip,grip,active,,medium,,4.11,4.11,ready,3294,7,4,31,1,ysgpc/Word List7/Word List7-Unit4.mp3,85.94,86.3
790,4,breakdown,breakdown,active,,medium,,4.1,4.1,ready,105,1,2,4,1,ysgpc/Word List1/Word List1-Unit2.mp3,15.88,16.5
791,4,facial,facial,active,,medium,,4.1,4.1,ready,288,1,3,88,1,ysgpc/Word List1/Word List1-Unit3.mp3,240.29,240.83
792,4,fitting,fitting,active,,medium,,4.1,4.1,ready,595,2,2,1,1,ysgpc/Word List2/Word List2-Unit2.mp3,7.53,8.05
793,4,monetary,monetary,active,,medium,,4.1,4.1,ready,631,2,2,37,1,ysgpc/Word List2/Word List2-Unit2.mp3,103.36,103.93
794,4,innovative,innovative,active,,medium,,4.1,4.1,ready,1533,4,1,50,1,ysgpc/Word List4/Word List4-Unit1.mp3,137.78,138.4
795,4,consensus,consensus,active,,medium,,4.1,4.1,ready,1595,4,2,12,1,ysgpc/Word List4/Word List4-Unit2.mp3,37.93,38.76
796,4,pose,pose,active,,medium,,4.1,4.1,ready,1624,4,2,41,1,ysgpc/Word List4/Word List4-Unit2.mp3,115.88,116.41
797,4,booth,booth,active,,medium,,4.1,4.1,ready,2100,5,2,23,1,ysgpc/Word List5/Word List5-Unit2.mp3,65.38,65.83
798,4,mighty,mighty,active,,medium,,4.1,4.1,ready,2408,5,5,35,1,ysgpc/Word List5/Word List5-Unit5.mp3,99.07,99.57
799,4,publish,publish,active,,medium,,4.1,4.1,ready,2598,6,2,25,1,ysgpc/Word List6/Word List6-Unit2.mp3,71.03,71.56
800,4,brutal,brutal,active,,medium,,4.1,4.1,ready,2743,6,3,71,1,ysgpc/Word List6/Word List6-Unit3.mp3,192.6,193.03
801,5,import,import,active,,medium,,4.1,4.1,ready,3458,7,5,96,1,ysgpc/Word List7/Word List7-Unit5.mp3,258.7,259.28
802,5,fatal,fatal,active,,medium,,4.1,4.1,ready,3461,7,5,99,1,ysgpc/Word List7/Word List7-Unit5.mp3,266.66,267.13
803,5,drill,drill,active,,medium,,4.09,4.09,ready,28,1,1,28,1,ysgpc/Word List1/Word List1-Unit1.mp3,76.39,76.74
804,5,disagree,disagree,active,,medium,,4.09,4.09,ready,237,1,3,37,1,ysgpc/Word List1/Word List1-Unit3.mp3,103.96,104.53
805,5,lawsuit,lawsuit,active,,medium,,4.09,4.09,ready,364,1,4,65,1,ysgpc/Word List1/Word List1-Unit4.mp3,177.18,177.87
806,5,suspicious,suspicious,active,,medium,,4.09,4.09,ready,518,2,1,23,1,ysgpc/Word List2/Word List2-Unit1.mp3,66.53,67.33
807,5,dairy,dairy,active,,medium,,4.09,4.09,ready,644,2,2,50,1,ysgpc/Word List2/Word List2-Unit2.mp3,137.17,137.64
808,5,invisible,invisible,active,,medium,,4.09,4.09,ready,1170,3,2,83,1,ysgpc/Word List3/Word List3-Unit2.mp3,224.46,225.06
809,5,leak,leak,active,,medium,,4.09,4.09,ready,2331,5,4,56,1,ysgpc/Word List5/Word List5-Unit4.mp3,152.94,153.39
810,5,intend,intend,active,,medium,,4.09,4.09,ready,3234,7,3,69,1,ysgpc/Word List7/Word List7-Unit3.mp3,188.75,189.39
811,5,vacuum,vacuum,active,,medium,,4.09,4.09,ready,3359,7,4,96,1,ysgpc/Word List7/Word List7-Unit4.mp3,257.08,257.69
812,5,poison,poison,active,,medium,,4.08,4.08,ready,104,1,2,3,1,ysgpc/Word List1/Word List1-Unit2.mp3,13.21,13.78
813,5,inevitable,inevitable,active,,medium,,4.08,4.08,ready,343,1,4,44,1,ysgpc/Word List1/Word List1-Unit4.mp3,122.03,122.66
814,5,myth,myth,active,,medium,,4.08,4.08,ready,1070,3,1,82,1,ysgpc/Word List3/Word List3-Unit1.mp3,220.28,220.74
815,5,architect,architect,active,,medium,,4.08,4.08,ready,1115,3,2,28,1,ysgpc/Word List3/Word List3-Unit2.mp3,78.99,79.65
816,5,breed,breed,active,,medium,,4.08,4.08,ready,1151,3,2,64,1,ysgpc/Word List3/Word List3-Unit2.mp3,175.15,175.56
817,5,rebel,rebel,active,,medium,,4.08,4.08,ready,1230,3,3,44,1,ysgpc/Word List3/Word List3-Unit3.mp3,120.34,120.71
818,5,lacking,lacking,active,,medium,,4.08,4.08,ready,1361,3,4,76,1,ysgpc/Word List3/Word List3-Unit4.mp3,207.19,207.69
819,5,merit,merit,active,,medium,,4.08,4.08,ready,1392,3,5,8,1,ysgpc/Word List3/Word List3-Unit5.mp3,25.65,26.12
820,5,freak,freak,active,,medium,,4.08,4.08,ready,1840,4,4,61,1,ysgpc/Word List4/Word List4-Unit4.mp3,166.22,166.63
821,5,subtle,subtle,active,,medium,,4.08,4.08,ready,2158,5,2,81,1,ysgpc/Word List5/Word List5-Unit2.mp3,217.54,218.06
822,5,fabric,fabric,active,,medium,,4.08,4.08,ready,2304,5,4,29,1,ysgpc/Word List5/Word List5-Unit4.mp3,80.99,81.55
823,5,fairy,fairy,active,,medium,,4.08,4.08,ready,2430,5,5,57,1,ysgpc/Word List5/Word List5-Unit5.mp3,157.52,157.98
824,5,pale,pale,active,,medium,,4.08,4.08,ready,2523,6,1,50,1,ysgpc/Word List6/Word List6-Unit1.mp3,137.08,137.47
825,5,dump,dump,active,,medium,,4.08,4.08,ready,2612,6,2,39,1,ysgpc/Word List6/Word List6-Unit2.mp3,108.24,108.6
826,5,fabulous,fabulous,active,,medium,,4.08,4.08,ready,2657,6,2,84,1,ysgpc/Word List6/Word List6-Unit2.mp3,227.0,227.68
827,5,overwhelming,overwhelming,active,,medium,,4.08,4.08,ready,3233,7,3,68,1,ysgpc/Word List7/Word List7-Unit3.mp3,185.99,186.7
828,5,grief,grief,active,,medium,,4.08,4.08,ready,3335,7,4,72,1,ysgpc/Word List7/Word List7-Unit4.mp3,193.48,193.9
829,5,underneath,underneath,active,,medium,,4.08,4.08,ready,3456,7,5,94,1,ysgpc/Word List7/Word List7-Unit5.mp3,253.45,254.13
830,5,hint,hint,active,,medium,,4.07,4.07,ready,448,1,5,52,1,ysgpc/Word List1/Word List1-Unit5.mp3,144.36,144.77
831,5,blanket,blanket,active,,medium,,4.07,4.07,ready,735,2,3,42,1,ysgpc/Word List2/Word List2-Unit3.mp3,117.7,118.28
832,5,horizon,horizon,active,,medium,,4.07,4.07,ready,736,2,3,43,1,ysgpc/Word List2/Word List2-Unit3.mp3,120.31,120.97
833,5,notable,notable,active,,medium,,4.07,4.07,ready,833,2,4,41,1,ysgpc/Word List2/Word List2-Unit4.mp3,112.22,112.77
834,5,obligation,obligation,active,,medium,,4.07,4.07,ready,912,2,5,21,1,ysgpc/Word List2/Word List2-Unit5.mp3,61.46,62.16
835,5,continent,continent,active,,medium,,4.07,4.07,ready,1185,3,2,98,1,ysgpc/Word List3/Word List3-Unit2.mp3,264.05,264.65
836,5,hostile,hostile,active,,medium,,4.07,4.07,ready,1404,3,5,20,1,ysgpc/Word List3/Word List3-Unit5.mp3,56.98,57.54
837,5,drain,drain,active,,medium,,4.07,4.07,ready,1987,5,1,10,1,ysgpc/Word List5/Word List5-Unit1.mp3,32.27,32.73
838,5,flame,flame,active,,medium,,4.07,4.07,ready,2090,5,2,13,1,ysgpc/Word List5/Word List5-Unit2.mp3,38.82,39.3
839,5,span,span,active,,medium,,4.07,4.07,ready,2159,5,2,82,1,ysgpc/Word List5/Word List5-Unit2.mp3,220.11,220.65
840,5,optical,optical,active,,medium,,4.07,4.07,ready,2450,5,5,77,1,ysgpc/Word List5/Word List5-Unit5.mp3,210.19,210.75
841,5,tremendous,tremendous,active,,medium,,4.07,4.07,ready,2642,6,2,69,1,ysgpc/Word List6/Word List6-Unit2.mp3,187.32,188.04
842,5,miserable,miserable,active,,medium,,4.07,4.07,ready,2903,6,5,33,1,ysgpc/Word List6/Word List6-Unit5.mp3,90.4,90.97
843,5,momentum,momentum,active,,medium,,4.07,4.07,ready,3216,7,3,51,1,ysgpc/Word List7/Word List7-Unit3.mp3,140.58,141.19
844,5,cheat,cheat,active,,medium,,4.06,4.06,ready,802,2,4,10,1,ysgpc/Word List2/Word List2-Unit4.mp3,31.15,31.56
845,5,compact,compact,active,,medium,,4.06,4.06,ready,1272,3,3,86,1,ysgpc/Word List3/Word List3-Unit3.mp3,230.38,230.97
846,5,intimate,intimate,active,,medium,,4.06,4.06,ready,1336,3,4,51,1,ysgpc/Word List3/Word List3-Unit4.mp3,141.0,141.57
847,5,elaborate,elaborate,active,,medium,,4.06,4.06,ready,2101,5,2,24,1,ysgpc/Word List5/Word List5-Unit2.mp3,67.9,68.53
848,5,deficit,deficit,active,,medium,,4.06,4.06,ready,2350,5,4,75,1,ysgpc/Word List5/Word List5-Unit4.mp3,202.21,202.8
849,5,laundry,laundry,active,,medium,,4.06,4.06,ready,2382,5,5,9,1,ysgpc/Word List5/Word List5-Unit5.mp3,28.66,29.25
850,5,adorable,adorable,active,,medium,,4.06,4.06,ready,3438,7,5,76,1,ysgpc/Word List7/Word List7-Unit5.mp3,205.46,206.1
851,5,hatred,hatred,active,,medium,,4.05,4.05,ready,48,1,1,48,1,ysgpc/Word List1/Word List1-Unit1.mp3,128.88,129.39
852,5,sophisticated,sophisticated,active,,medium,,4.05,4.05,ready,413,1,5,17,1,ysgpc/Word List1/Word List1-Unit5.mp3,49.47,50.44
853,5,slim,slim,active,,medium,,4.05,4.05,ready,568,2,1,73,1,ysgpc/Word List2/Word List2-Unit1.mp3,199.1,199.6
854,5,exceptional,exceptional,active,,medium,,4.05,4.05,ready,626,2,2,32,1,ysgpc/Word List2/Word List2-Unit2.mp3,89.9,90.59
855,5,accomplish,accomplish,active,,medium,,4.05,4.05,ready,817,2,4,25,1,ysgpc/Word List2/Word List2-Unit4.mp3,70.29,70.97
856,5,detect,detect,active,,medium,,4.05,4.05,ready,1018,3,1,30,1,ysgpc/Word List3/Word List3-Unit1.mp3,82.85,83.4
857,5,adequate,adequate,active,,medium,,4.05,4.05,ready,1094,3,2,7,1,ysgpc/Word List3/Word List3-Unit2.mp3,23.34,23.9
858,5,interact,interact,active,,medium,,4.05,4.05,ready,1377,3,4,92,1,ysgpc/Word List3/Word List3-Unit4.mp3,248.34,249.0
859,5,majesty,majesty,active,,medium,,4.05,4.05,ready,1575,4,1,92,1,ysgpc/Word List4/Word List4-Unit1.mp3,251.09,251.76
860,5,supportive,supportive,active,,medium,,4.05,4.05,ready,1995,5,1,18,1,ysgpc/Word List5/Word List5-Unit1.mp3,53.39,54.12
861,5,medieval,medieval,active,,medium,,4.05,4.05,ready,2185,5,3,9,1,ysgpc/Word List5/Word List5-Unit3.mp3,29.42,30.03
862,5,foul,foul,active,,medium,,4.05,4.05,ready,2320,5,4,45,1,ysgpc/Word List5/Word List5-Unit4.mp3,123.99,124.42
863,5,passport,passport,active,,medium,,4.05,4.05,ready,2397,5,5,24,1,ysgpc/Word List5/Word List5-Unit5.mp3,68.61,69.25
864,5,brass,brass,active,,medium,,4.05,4.05,ready,2433,5,5,60,1,ysgpc/Word List5/Word List5-Unit5.mp3,164.92,165.47
865,5,withdraw,withdraw,active,,medium,,4.05,4.05,ready,2590,6,2,17,1,ysgpc/Word List6/Word List6-Unit2.mp3,49.65,50.23
866,5,ignorant,ignorant,active,,medium,,4.05,4.05,ready,2597,6,2,24,1,ysgpc/Word List6/Word List6-Unit2.mp3,68.36,68.98
867,5,alter,alter,active,,medium,,4.05,4.05,ready,2856,6,4,85,1,ysgpc/Word List6/Word List6-Unit4.mp3,229.29,229.72
868,5,beg,beg,active,,medium,,4.05,4.05,ready,3323,7,4,60,1,ysgpc/Word List7/Word List7-Unit4.mp3,161.91,162.25
869,5,finale,finale,active,,medium,,4.04,4.04,ready,118,1,2,17,1,ysgpc/Word List1/Word List1-Unit2.mp3,50.6,51.17
870,5,magnificent,magnificent,active,,medium,,4.04,4.04,ready,174,1,2,73,1,ysgpc/Word List1/Word List1-Unit2.mp3,197.56,198.37
871,5,strengthen,strengthen,active,,medium,,4.04,4.04,ready,331,1,4,32,1,ysgpc/Word List1/Word List1-Unit4.mp3,89.81,90.53
872,5,shallow,shallow,active,,medium,,4.04,4.04,ready,409,1,5,13,1,ysgpc/Word List1/Word List1-Unit5.mp3,38.76,39.33
873,5,sponsor,sponsor,active,,medium,,4.04,4.04,ready,549,2,1,54,1,ysgpc/Word List2/Word List2-Unit1.mp3,148.62,149.25
874,5,sketch,sketch,active,,medium,,4.04,4.04,ready,922,2,5,31,1,ysgpc/Word List2/Word List2-Unit5.mp3,87.65,88.25
875,5,enhance,enhance,active,,medium,,4.04,4.04,ready,1360,3,4,75,1,ysgpc/Word List3/Word List3-Unit4.mp3,204.48,205.16
876,5,blonde,blonde,active,,medium,,4.04,4.04,ready,1601,4,2,18,1,ysgpc/Word List4/Word List4-Unit2.mp3,54.36,54.84
877,5,cope,cope,active,,medium,,4.04,4.04,ready,1891,4,5,13,1,ysgpc/Word List4/Word List4-Unit5.mp3,39.97,40.34
878,5,echo,echo,active,,medium,,4.04,4.04,ready,1910,4,5,32,1,ysgpc/Word List4/Word List4-Unit5.mp3,91.02,91.47
879,5,flavor,flavor,active,,medium,,4.04,4.04,ready,2016,5,1,39,1,ysgpc/Word List5/Word List5-Unit1.mp3,109.13,109.65
880,5,bust,bust,active,,medium,,4.04,4.04,ready,2028,5,1,51,1,ysgpc/Word List5/Word List5-Unit1.mp3,140.47,140.9
881,5,immigrant,immigrant,active,,medium,,4.04,4.04,ready,2067,5,1,90,1,ysgpc/Word List5/Word List5-Unit1.mp3,242.65,243.18
882,5,authentic,authentic,active,,medium,,4.04,4.04,ready,2378,5,5,5,1,ysgpc/Word List5/Word List5-Unit5.mp3,17.81,18.54
883,5,bolt,bolt,active,,medium,,4.04,4.04,ready,3059,7,1,90,1,ysgpc/Word List7/Word List7-Unit1.mp3,240.47,240.85
884,5,meantime,meantime,active,,medium,,4.04,4.04,ready,3184,7,3,19,1,ysgpc/Word List7/Word List7-Unit3.mp3,55.31,55.94
885,5,donate,donate,active,,medium,,4.04,4.04,ready,3370,7,5,8,1,ysgpc/Word List7/Word List7-Unit5.mp3,26.41,26.97
886,5,aging,aging,active,,medium,,4.04,4.04,ready,3453,7,5,91,1,ysgpc/Word List7/Word List7-Unit5.mp3,245.53,246.05
887,5,harvest,harvest,active,,medium,,4.03,4.03,ready,130,1,2,29,1,ysgpc/Word List1/Word List1-Unit2.mp3,82.29,82.91
888,5,headline,headline,active,,medium,,4.03,4.03,ready,278,1,3,78,1,ysgpc/Word List1/Word List1-Unit3.mp3,213.75,214.31
889,5,elect,elect,active,,medium,,4.03,4.03,ready,995,3,1,7,1,ysgpc/Word List3/Word List3-Unit1.mp3,23.01,23.53
890,5,lobby,lobby,active,,medium,,4.03,4.03,ready,1798,4,4,19,1,ysgpc/Word List4/Word List4-Unit4.mp3,54.74,55.15
891,5,modest,modest,active,,medium,,4.03,4.03,ready,2055,5,1,78,1,ysgpc/Word List5/Word List5-Unit1.mp3,211.36,211.91
892,5,passive,passive,active,,medium,,4.03,4.03,ready,2109,5,2,32,1,ysgpc/Word List5/Word List5-Unit2.mp3,88.4,88.92
893,5,insist,insist,active,,medium,,4.03,4.03,ready,2330,5,4,55,1,ysgpc/Word List5/Word List5-Unit4.mp3,150.23,150.86
894,5,threshold,threshold,active,,medium,,4.03,4.03,ready,2500,6,1,27,1,ysgpc/Word List6/Word List6-Unit1.mp3,76.36,77.05
895,5,essence,essence,active,,medium,,4.03,4.03,ready,2586,6,2,13,1,ysgpc/Word List6/Word List6-Unit2.mp3,39.14,39.68
896,5,chapel,chapel,active,,medium,,4.03,4.03,ready,2604,6,2,31,1,ysgpc/Word List6/Word List6-Unit2.mp3,86.67,87.12
897,5,varied,varied,active,,medium,,4.03,4.03,ready,2695,6,3,23,1,ysgpc/Word List6/Word List6-Unit3.mp3,65.59,66.23
898,5,differ,differ,active,,medium,,4.03,4.03,ready,2852,6,4,81,1,ysgpc/Word List6/Word List6-Unit4.mp3,218.71,219.07
899,5,cease,cease,active,,medium,,4.03,4.03,ready,3001,7,1,32,1,ysgpc/Word List7/Word List7-Unit1.mp3,89.26,89.77
900,5,abandon,abandon,active,,medium,,4.02,4.02,ready,1,1,1,1,1,ysgpc/Word List1/Word List1-Unit1.mp3,6.36,6.98
901,5,possess,possess,active,,medium,,4.02,4.02,ready,230,1,3,30,1,ysgpc/Word List1/Word List1-Unit3.mp3,84.91,85.52
902,5,enthusiasm,enthusiasm,active,,medium,,4.02,4.02,ready,713,2,3,20,1,ysgpc/Word List2/Word List2-Unit3.mp3,58.4,59.33
903,5,extract,extract,active,,medium,,4.02,4.02,ready,783,2,3,90,1,ysgpc/Word List2/Word List2-Unit3.mp3,244.9,245.58
904,5,probability,probability,active,,medium,,4.02,4.02,ready,828,2,4,36,1,ysgpc/Word List2/Word List2-Unit4.mp3,98.78,99.51
905,5,accommodate,accommodate,active,,medium,,4.02,4.02,ready,880,2,4,88,1,ysgpc/Word List2/Word List2-Unit4.mp3,236.34,237.04
906,5,badge,badge,active,,medium,,4.02,4.02,ready,884,2,4,92,1,ysgpc/Word List2/Word List2-Unit4.mp3,246.91,247.29
907,5,ritual,ritual,active,,medium,,4.02,4.02,ready,1543,4,1,60,1,ysgpc/Word List4/Word List4-Unit1.mp3,164.44,165.0
908,5,bounce,bounce,active,,medium,,4.02,4.02,ready,1749,4,3,68,1,ysgpc/Word List4/Word List4-Unit3.mp3,182.48,182.94
909,5,subscribe,subscribe,active,,medium,,4.02,4.02,ready,1838,4,4,59,1,ysgpc/Word List4/Word List4-Unit4.mp3,160.54,161.31
910,5,anchor,anchor,active,,medium,,4.02,4.02,ready,2223,5,3,47,1,ysgpc/Word List5/Word List5-Unit3.mp3,129.69,130.13
911,5,bizarre,bizarre,active,,medium,,4.02,4.02,ready,2438,5,5,65,1,ysgpc/Word List5/Word List5-Unit5.mp3,178.11,178.61
912,5,gut,gut,active,,medium,,4.02,4.02,ready,2639,6,2,66,1,ysgpc/Word List6/Word List6-Unit2.mp3,179.71,180.07
913,5,fusion,fusion,active,,medium,,4.02,4.02,ready,2912,6,5,42,1,ysgpc/Word List6/Word List6-Unit5.mp3,114.38,114.93
914,5,gauge,gauge,active,,medium,,4.02,4.02,ready,3081,7,2,13,1,ysgpc/Word List7/Word List7-Unit2.mp3,39.55,40.02
915,5,dimension,dimension,active,,medium,,4.02,4.02,ready,3135,7,2,67,1,ysgpc/Word List7/Word List7-Unit2.mp3,183.06,183.71
916,5,ideology,ideology,active,,medium,,4.02,4.02,ready,3167,7,3,2,1,ysgpc/Word List7/Word List7-Unit3.mp3,9.78,10.54
917,5,insert,insert,active,,medium,,4.01,4.01,ready,4,1,1,4,1,ysgpc/Word List1/Word List1-Unit1.mp3,14.12,14.78
918,5,sympathy,sympathy,active,,medium,,4.01,4.01,ready,12,1,1,12,1,ysgpc/Word List1/Word List1-Unit1.mp3,35.06,35.66
919,5,harassment,harassment,active,,medium,,4.01,4.01,ready,620,2,2,26,1,ysgpc/Word List2/Word List2-Unit2.mp3,74.09,74.74
920,5,adaptation,adaptation,active,,medium,,4.01,4.01,ready,1053,3,1,65,1,ysgpc/Word List3/Word List3-Unit1.mp3,174.72,175.55
921,5,liquor,liquor,active,,medium,,4.01,4.01,ready,1278,3,3,92,1,ysgpc/Word List3/Word List3-Unit3.mp3,246.3,246.69
922,5,transparent,transparent,active,,medium,,4.01,4.01,ready,1652,4,2,69,1,ysgpc/Word List4/Word List4-Unit2.mp3,190.1,190.9
923,5,theoretical,theoretical,active,,medium,,4.01,4.01,ready,1716,4,3,35,1,ysgpc/Word List4/Word List4-Unit3.mp3,96.38,97.03
924,5,civilization,civilization,active,,medium,,4.01,4.01,ready,1943,4,5,65,1,ysgpc/Word List4/Word List4-Unit5.mp3,180.71,181.6
925,5,bail,bail,active,,medium,,4.01,4.01,ready,2130,5,2,53,1,ysgpc/Word List5/Word List5-Unit2.mp3,142.79,143.17
926,5,delicate,delicate,active,,medium,,4.01,4.01,ready,2641,6,2,68,1,ysgpc/Word List6/Word List6-Unit2.mp3,184.69,185.22
927,5,tan,tan,active,,medium,,4.01,4.01,ready,3423,7,5,61,1,ysgpc/Word List7/Word List7-Unit5.mp3,166.03,166.42
928,5,interim,interim,active,,medium,,4.0,4.0,ready,220,1,3,20,1,ysgpc/Word List1/Word List1-Unit3.mp3,58.03,58.6
929,5,behave,behave,active,,medium,,4.0,4.0,ready,425,1,5,29,1,ysgpc/Word List1/Word List1-Unit5.mp3,82.07,82.7
930,5,escort,escort,active,,medium,,4.0,4.0,ready,681,2,2,87,1,ysgpc/Word List2/Word List2-Unit2.mp3,235.42,236.02
931,5,minus,minus,active,,medium,,4.0,4.0,ready,993,3,1,5,1,ysgpc/Word List3/Word List3-Unit1.mp3,17.81,18.38
932,5,slice,slice,active,,medium,,4.0,4.0,ready,1107,3,2,20,1,ysgpc/Word List3/Word List3-Unit2.mp3,57.91,58.47
933,5,indirect,indirect,active,,medium,,4.0,4.0,ready,1239,3,3,53,1,ysgpc/Word List3/Word List3-Unit3.mp3,143.29,143.95
934,5,magnitude,magnitude,active,,medium,,4.0,4.0,ready,1561,4,1,78,1,ysgpc/Word List4/Word List4-Unit1.mp3,212.98,213.81
935,5,crude,crude,active,,medium,,4.0,4.0,ready,1805,4,4,26,1,ysgpc/Word List4/Word List4-Unit4.mp3,73.39,73.9
936,5,jerk,jerk,active,,medium,,4.0,4.0,ready,2235,5,3,59,1,ysgpc/Word List5/Word List5-Unit3.mp3,160.63,161.11
937,5,lottery,lottery,active,,medium,,4.0,4.0,ready,2236,5,3,60,1,ysgpc/Word List5/Word List5-Unit3.mp3,163.2,163.74
938,5,dash,dash,active,,medium,,4.0,4.0,ready,2824,6,4,53,1,ysgpc/Word List6/Word List6-Unit4.mp3,144.34,144.73
939,5,denial,denial,receptive,,medium,,3.99,3.99,ready,39,1,1,39,1,ysgpc/Word List1/Word List1-Unit1.mp3,105.42,105.94
940,5,affiliate,affiliate,receptive,,medium,,3.99,3.99,ready,629,2,2,35,1,ysgpc/Word List2/Word List2-Unit2.mp3,98.07,98.69
941,5,expedition,expedition,receptive,,medium,,3.99,3.99,ready,795,2,4,3,2,ysgpc/Word List2/Word List2-Unit4.mp3,12.44,13.19
942,5,weigh,weigh,receptive,,medium,,3.99,3.99,ready,819,2,4,27,1,ysgpc/Word List2/Word List2-Unit4.mp3,75.57,75.98
943,5,inappropriate,inappropriate,receptive,,medium,,3.99,3.99,ready,956,2,5,65,1,ysgpc/Word List2/Word List2-Unit5.mp3,177.6,178.46
944,5,mediterranean,mediterranean,receptive,,medium,,3.99,3.99,ready,983,2,5,92,1,ysgpc/Word List2/Word List2-Unit5.mp3,249.38,250.21
945,5,cluster,cluster,receptive,,medium,,3.99,3.99,ready,1353,3,4,68,1,ysgpc/Word List3/Word List3-Unit4.mp3,186.45,186.94
946,5,infant,infant,receptive,,medium,,3.99,3.99,ready,2386,5,5,13,1,ysgpc/Word List5/Word List5-Unit5.mp3,39.36,39.94
947,5,probe,probe,receptive,,medium,,3.99,3.99,ready,2603,6,2,30,1,ysgpc/Word List6/Word List6-Unit2.mp3,84.14,84.62
948,5,fossil,fossil,receptive,,medium,,3.99,3.99,ready,2627,6,2,54,1,ysgpc/Word List6/Word List6-Unit2.mp3,147.81,148.31
949,5,asylum,asylum,receptive,,medium,,3.99,3.99,ready,2699,6,3,27,1,ysgpc/Word List6/Word List6-Unit3.mp3,76.29,76.92
950,5,outbreak,outbreak,receptive,,medium,,3.99,3.99,ready,2857,6,4,86,1,ysgpc/Word List6/Word List6-Unit4.mp3,231.78,232.4
951,5,bent,bent,receptive,,medium,,3.99,3.99,ready,2916,6,5,46,1,ysgpc/Word List6/Word List6-Unit5.mp3,124.96,125.35
952,5,entrepreneur,entrepreneur,receptive,,medium,,3.99,3.99,ready,2951,6,5,81,1,ysgpc/Word List6/Word List6-Unit5.mp3,217.01,217.73
953,5,freight,freight,receptive,,medium,,3.99,3.99,ready,3187,7,3,22,1,ysgpc/Word List7/Word List7-Unit3.mp3,63.47,63.92
954,5,wicked,wicked,receptive,,medium,,3.99,3.99,ready,3231,7,3,66,1,ysgpc/Word List7/Word List7-Unit3.mp3,180.66,181.13
955,5,insult,insult,receptive,,medium,,3.99,3.99,ready,3288,7,4,25,1,ysgpc/Word List7/Word List7-Unit4.mp3,70.27,70.91
956,5,prey,prey,receptive,,medium,,3.98,3.98,ready,143,1,2,42,1,ysgpc/Word List1/Word List1-Unit2.mp3,116.13,116.57
957,5,absent,absent,receptive,,medium,,3.98,3.98,ready,149,1,2,48,1,ysgpc/Word List1/Word List1-Unit2.mp3,131.55,132.1
958,5,adapt,adapt,receptive,,medium,,3.98,3.98,ready,205,1,3,5,1,ysgpc/Word List1/Word List1-Unit3.mp3,17.31,17.84
959,5,intact,intact,receptive,,medium,,3.98,3.98,ready,942,2,5,51,1,ysgpc/Word List2/Word List2-Unit5.mp3,140.6,141.25
960,5,bump,bump,receptive,,medium,,3.98,3.98,ready,962,2,5,71,1,ysgpc/Word List2/Word List2-Unit5.mp3,193.72,194.07
